RESPONSABLE DE SERVICIO,,, ,,,,,,DISTANCIA,ADULTO,ESCOLAR MEDIA,ESCOLAR SUPERIOR,TARIFA TERCERA EDAD,TARIFA MINIMA,INTERIOR,NOCTURNA,LOCAL URBANO,LOCAL RURAL,INTERMEDIOS,TRASNOCHE,DGOS- Y FESTIVOS,INICIO,TÉRMINO,N° Resolucion,Fecha,tipo servicio,
Folio,NOMBRE EMPRESA,COMUNA,Troncal - RUTA O VTE,TRAMO,SECTOR INICIO,COMUNA,SECTOR TÉRMINO,COMUNA,KM.,$,$,$,$,$,$,$,$,$,$,$,$,Hrs:,Hrs:,,,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,6,Arturo Prat ,Puchuncaví,Las Ventanas,Puchuncaví,13,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,7,Arturo Prat ,Quintero,La Chocota,Puchuncaví,14,1100,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,8,Arturo Prat ,Quintero,Horcón,Puchuncaví,16,1200,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,9,Arturo Prat ,Quintero,Campiche,Puchuncaví,19,1300,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 1,10,Arturo Prat ,Quintero,La Paz,Puchuncaví,21,1500,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,11,La Paz,Quintero,El Paso,Puchuncaví,3,800,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,12,La Paz,Quintero,El Rungue,Puchuncaví,5,900,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,13,La Paz,Puchuncaví,Maitencillo,Puchuncaví,9,1200,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,14,La Paz,Puchuncaví,La Laguna,Puchuncaví,10,1200,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,15,La Paz,Puchuncaví,Laguna de Zapallar,Zapallar,11,1200,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 3,16,La Paz,Puchuncaví,Campiche,Puchuncaví,4,900,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 2,17,La Paz,Puchuncaví,La Greda,Puchuncaví,7,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 3,18,La Paz,Puchuncaví,Las Ventanas,Puchuncaví,8,1000,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 3,19,La Paz,Puchuncaví,La Chocota,Puchuncaví,9,1100,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
8,SIND.TRAB.IND.TAXI.COLEC.LOS CANARIOS,Puchuncavi,Ruta 3,20,La Paz,Puchuncaví,Horcón,Puchuncaví,11,1200,,,,,,,,,,,,07.00,21.00,2665,07/12/22,COLECTIVO RURAL,
